"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 09 10:08:15 CST 2022","Wed Mar 09 10:08:16 CST 2022","1063","chromium","Automation.spec.ts","Test Suits - Servers Auto Provisioning","","","VMWare site availability verification",""
"failed","Wed Mar 09 10:08:17 CST 2022","Wed Mar 09 10:08:18 CST 2022","1016","chromium","Automation.spec.ts","Test Suits - Servers Auto Provisioning","","","Create: W2016-PROD-Capacitacion.local, Server",""
